group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ANDZ3,,,,,1076034.0,ns,10
ANDZ3,,,,,2091762.0,ns,20
ANDZ3,,,,,3037941.0,ns,30
ANDZ3,,,,,4418693.0,ns,40
ANDZ3,,,,,7178094.0,ns,50
ANDZ3,,,,,6374955.0,ns,60
ANDZ3,,,,,7821742.0,ns,70
ANDZ3,,,,,8236836.0,ns,80
ANDZ3,,,,,9232991.0,ns,90
ANDZ3,,,,,10910917.0,ns,100
ANDZ3,,,,,11386537.0,ns,110
ANDZ3,,,,,12271699.0,ns,120
ANDZ3,,,,,13332642.0,ns,130
ANDZ3,,,,,14551950.0,ns,140
ANDZ3,,,,,15439841.0,ns,150
ANDZ3,,,,,16558161.0,ns,160
ANDZ3,,,,,17466803.0,ns,170
ANDZ3,,,,,18953680.0,ns,180
ANDZ3,,,,,19911571.0,ns,190
ANDZ3,,,,,21253096.0,ns,200
ANDZ3,,,,,22091742.0,ns,210
ANDZ3,,,,,23313043.0,ns,220
ANDZ3,,,,,23999074.0,ns,230
ANDZ3,,,,,25221634.0,ns,240
ANDZ3,,,,,26098519.0,ns,250
ANDZ3,,,,,27336644.0,ns,260
ANDZ3,,,,,28113689.0,ns,270
ANDZ3,,,,,29385243.0,ns,280
ANDZ3,,,,,30660858.0,ns,290
ANDZ3,,,,,31361658.0,ns,300
ANDZ3,,,,,31998541.0,ns,310
ANDZ3,,,,,33178779.0,ns,320
ANDZ3,,,,,34313332.0,ns,330
ANDZ3,,,,,35480300.0,ns,340
ANDZ3,,,,,36636132.0,ns,350
ANDZ3,,,,,38167300.0,ns,360
ANDZ3,,,,,39039280.0,ns,370
ANDZ3,,,,,39794147.0,ns,380
ANDZ3,,,,,40721468.0,ns,390
ANDZ3,,,,,42064973.0,ns,400
ANDZ3,,,,,43660047.0,ns,410
ANDZ3,,,,,44233277.0,ns,420
ANDZ3,,,,,44982899.0,ns,430
ANDZ3,,,,,46297871.0,ns,440
ANDZ3,,,,,46863901.0,ns,450
ANDZ3,,,,,47544182.0,ns,460
ANDZ3,,,,,48456902.0,ns,470
ANDZ3,,,,,50376421.0,ns,480
ANDZ3,,,,,52173887.0,ns,490
ANDZ3,,,,,52181245.0,ns,500
ANDZ3,,,,,52488247.0,ns,510
ANDZ3,,,,,54794601.0,ns,520
ANDZ3,,,,,55273929.0,ns,530
ANDZ3,,,,,56654868.0,ns,540
ANDZ3,,,,,57921934.0,ns,550
ANDZ3,,,,,58437240.0,ns,560
ANDZ3,,,,,60199917.0,ns,570
ANDZ3,,,,,60254946.0,ns,580
ANDZ3,,,,,61515453.0,ns,590
ANDZ3,,,,,61503551.0,ns,600
ANDZ3,,,,,62451114.0,ns,610
ANDZ3,,,,,63404929.0,ns,620
ANDZ3,,,,,65408898.0,ns,630
ANDZ3,,,,,66325909.0,ns,640
ANDZ3,,,,,67760849.0,ns,650
ANDZ3,,,,,68728101.0,ns,660
ANDZ3,,,,,70186901.0,ns,670
ANDZ3,,,,,71712642.0,ns,680
ANDZ3,,,,,71525779.0,ns,690
ANDZ3,,,,,73254477.0,ns,700
ANDZ3,,,,,75140284.0,ns,710
ANDZ3,,,,,75920604.0,ns,720
ANDZ3,,,,,76608571.0,ns,730
ANDZ3,,,,,78715803.0,ns,740
ANDZ3,,,,,78769191.0,ns,750
ANDZ3,,,,,86609439.0,ns,760
ANDZ3,,,,,79867175.0,ns,770
ANDZ3,,,,,80324429.0,ns,780
ANDZ3,,,,,81532272.0,ns,790
ANDZ3,,,,,84300895.0,ns,800
ANDZ3,,,,,85760942.0,ns,810
ANDZ3,,,,,84389182.0,ns,820
ANDZ3,,,,,87137991.0,ns,830
ANDZ3,,,,,89300019.0,ns,840
ANDZ3,,,,,88885036.0,ns,850
ANDZ3,,,,,91421624.0,ns,860
ANDZ3,,,,,91793298.0,ns,870
ANDZ3,,,,,91821285.0,ns,880
ANDZ3,,,,,94375318.0,ns,890
ANDZ3,,,,,95149107.0,ns,900
ANDZ3,,,,,96542585.0,ns,910
ANDZ3,,,,,97362646.0,ns,920
ANDZ3,,,,,99484770.0,ns,930
ANDZ3,,,,,100220124.0,ns,940
ANDZ3,,,,,102452400.0,ns,950
ANDZ3,,,,,104483616.0,ns,960
ANDZ3,,,,,102204024.0,ns,970
ANDZ3,,,,,105418816.0,ns,980
ANDZ3,,,,,107692734.0,ns,990
ANDZ3,,,,,107153015.0,ns,1000
